lat,lng,pop
15.3547,44.2066,6546545
15.421,45.334,16794
15.6917,43.6021,208287
13.9759,44.1709,234837
14.7979,42.953,780000
13.0582,44.8838,66288
13.6045,44.0394,751000
16.9398,43.8498,105542
14.5575,44.3875,191259
15.943,48.7873,68747
13.979,45.574,37821
14.4295,44.8341,45233
14.55,46.8,37315
16.2394,52.1638,27404
